Agent, Successes, Trials, Average reward, average successful reward
Evaluating solo
Recipe, scrambled egg
[switch [human, stove]: 0.25, move [human, eggs_bowl, counter]: 0.25, move [human, olive_oil_bowl, counter]: 0.25, move [human, butter_bowl, counter]: 0.25]
Executing action move [human, olive_oil_bowl, counter], 0.0, 17.184956866902763
[pour [human, olive_oil_bowl, frying_pan]: 0.3333333333333333, switch [human, stove]: 0.3333333333333333, reset [human]: 0.0, move [human, eggs_bowl, counter]: 0.3333333333333333, move [human, butter_bowl, counter]: 0.0]
Executing action move [human, eggs_bowl, counter], 17.184956866902763, 33.25889336895041
[pour [human, eggs_bowl, mixing_bowl_1]: 0.0, pour [human, olive_oil_bowl, frying_pan]: 0.5, switch [human, stove]: 0.5, reset [human]: 0.0, move [human, butter_bowl, counter]: 0.0]
Executing action pour [human, olive_oil_bowl, frying_pan], 33.25889336895041, 47.89572798500362
[pour [human, frying_pan, trash]: 0.0, switch [human, stove]: 0.5, reset [human]: 0.0, move [human, frying_pan, stove]: 0.5, move [human, butter_bowl, counter]: 0.0]
Executing action switch [human, stove], 47.89572798500362, 60.13699303823772
[pour [human, frying_pan, trash]: 0.0, reset [human]: 0.0, move [human, frying_pan, stove]: 1.0, move [human, butter_bowl, counter]: 0.0]
Executing action move [human, frying_pan, stove], 60.13699303823772, 88.08061510750211
[reset [human]: 0.0, move [human, frying_pan, counter]: 1.0, move [human, butter_bowl, counter]: 0.0]
Executing action move [human, frying_pan, counter], 88.08061510750211, 106.32133123815521
[pour [human, frying_pan, trash]: 0.0, pour [human, frying_pan, mixing_bowl_1]: 0.0, pour [human, eggs_bowl, frying_pan]: 1.0, reset [human]: 0.0, move [human, frying_pan, stove]: 0.0, move [human, butter_bowl, counter]: 0.0]
Executing action pour [human, eggs_bowl, frying_pan], 106.32133123815521, 128.11891917398071
[pour [human, frying_pan, trash]: 0.0, pour [human, frying_pan, mixing_bowl_1]: 0.0, reset [human]: 0.0, move [human, frying_pan, stove]: 0.0, move [human, butter_bowl, counter]: 0.0, mix [human, frying_pan, whisk]: 1.0]
Executing action mix [human, frying_pan, whisk], 128.11891917398071, 174.72458430848957
[pour [human, frying_pan, trash]: 0.0, pour [human, frying_pan, mixing_bowl_1]: 0.0, reset [human]: 0.0, move [human, frying_pan, stove]: 1.0, move [human, butter_bowl, counter]: 0.0]
Executing action move [human, frying_pan, stove], 174.72458430848957, 202.2969780971071
solo, 1, 1, 202.2969780971071, 202.2969780971071
solo, time, 31
Evaluating Expert
Required 1.567E-6
Recipe, scrambled egg
Is not cooperative
Human chose move [human, eggs_bowl, counter]
Partner chose to wait
Executing action move [human, eggs_bowl, counter], 0.0, 19.49424217089659
Executing action wait [partner] 0.0, 19.49424217089659
Is cooperative
human scheduled actions
-partner
	move [partner, butter_bowl, counter], 0.0, 19.170384973334436
	switch [partner, stove], 19.170384973334436, 19.47208928676076
	wait, 19.47208928676076, 35.624295622231635
	move [partner, frying_pan, stove], 35.624295622231635, 52.28234076033543
	wait, 52.28234076033543, 133.66149178141566
	move [partner, frying_pan, stove], 133.66149178141566, 149.8801546601527
-human
	wait, 0.0, 19.170384973334436
	pour [human, butter_bowl, frying_pan], 19.170384973334436, 35.624295622231635
	wait, 35.624295622231635, 52.28234076033543
	move [human, frying_pan, counter], 52.28234076033543, 68.34761165365258
	pour [human, eggs_bowl, frying_pan], 68.34761165365258, 89.84176082752008
	mix [human, frying_pan, whisk], 89.84176082752008, 133.66149178141566
partner scheduled actions
-partner
	switch [partner, stove], 0.0, 0.33501745573477915
	move [partner, olive_oil_bowl, counter], 0.3350174557347785, 16.886344966466222
	wait, 16.886344966466222, 31.572877483968245
	move [partner, frying_pan, stove], 31.572877483968245, 47.92072475190219
	wait, 47.920724751902185, 131.8614827286934
	move [partner, frying_pan, stove], 131.86148272869337, 150.32673532644566
-human
	wait, 0.0, 16.886344966466222
	pour [human, olive_oil_bowl, frying_pan], 16.886344966466222, 31.572877483968245
	wait, 31.572877483968245, 47.92072475190219
	move [human, frying_pan, counter], 47.92072475190219, 63.79080468739619
	pour [human, eggs_bowl, frying_pan], 63.79080468739619, 86.88472227191728
	mix [human, frying_pan, whisk], 86.88472227191728, 131.8614827286934
Executing action switch [partner, stove], 19.49424217089659, 19.842100536696673
Executing action wait [human] 19.49424217089659, 19.842100536696673
Is cooperative
human scheduled actions
-partner
	move [partner, olive_oil_bowl, counter], 0.0, 16.327573412060815
	wait, 16.327573412060815, 31.55954769513294
	move [partner, frying_pan, stove], 31.55954769513294, 49.09008142102606
	move [partner, frying_pan, counter], 49.09008142102607, 66.18938664592875
	wait, 66.18938664592875, 130.2032818963912
	move [partner, frying_pan, stove], 130.2032818963912, 147.06422745345398
-human
	wait, 0.0, 16.327573412060815
	pour [human, olive_oil_bowl, frying_pan], 16.327573412060815, 31.55954769513294
	wait, 31.55954769513294, 66.18938664592875
	pour [human, eggs_bowl, frying_pan], 66.18938664592875, 87.42359950119501
	mix [human, frying_pan, whisk], 87.42359950119501, 130.2032818963912
partner scheduled actions
-partner
	wait, 0.0, 32.21897218907611
	move [partner, frying_pan, stove], 32.21897218907611, 49.48159441921645
	wait, 49.48159441921645, 133.5395326796771
	move [partner, frying_pan, stove], 133.5395326796771, 149.5511983300463
-human
	move [human, olive_oil_bowl, counter], 0.0, 16.21210758379237
	pour [human, olive_oil_bowl, frying_pan], 16.21210758379237, 32.21897218907611
	wait, 32.21897218907611, 49.48159441921645
	move [human, frying_pan, counter], 49.48159441921646, 65.40771013033964
	pour [human, eggs_bowl, frying_pan], 65.40771013033964, 88.53945171786076
	mix [human, frying_pan, whisk], 88.53945171786077, 133.5395326796771
Partner chose to wait
Is not cooperative
Human chose move [human, olive_oil_bowl, counter]
partner scheduled actions
-partner
	wait, 0.0, 29.098533950615632
	move [partner, frying_pan, stove], 29.098533950615632, 45.09853395061563
	wait, 45.09853395061563, 124.3874762583109
