Agent, Successes, Trials, Average reward, average successful reward
Evaluating solo
Recipe, scrambled egg
[pour [human, eggs_bowl, mixing_bowl_1]: 0.0, pour [human, olive_oil_bowl, frying_pan]: 0.3333333333333333, pour [human, butter_bowl, frying_pan]: 0.3333333333333333, switch [human, stove]: 0.3333333333333333]
Executing action pour [human, olive_oil_bowl, frying_pan], 0.0, 19.117424551784794
[pour [human, frying_pan, trash]: 0.0, switch [human, stove]: 0.5, reset [human]: 0.0, move [human, frying_pan, stove]: 0.5]
Executing action switch [human, stove], 19.117424551784794, 20.02236586686842
[pour [human, frying_pan, trash]: 0.0, reset [human]: 0.0, move [human, frying_pan, stove]: 1.0]
Executing action move [human, frying_pan, stove], 20.02236586686842, 34.86660033112892
[reset [human]: 0.0, move [human, frying_pan, counter]: 1.0]
Executing action move [human, frying_pan, counter], 34.86660033112892, 39.808089510110236
[pour [human, frying_pan, trash]: 0.0, pour [human, frying_pan, mixing_bowl_1]: 0.0, pour [human, eggs_bowl, frying_pan]: 1.0, reset [human]: 0.0, move [human, frying_pan, stove]: 0.0]
Executing action pour [human, eggs_bowl, frying_pan], 39.808089510110236, 55.02182225346704
[pour [human, frying_pan, trash]: 0.0, pour [human, frying_pan, mixing_bowl_1]: 0.0, reset [human]: 0.0, move [human, frying_pan, stove]: 0.0, mix [human, frying_pan, whisk]: 1.0]
Executing action mix [human, frying_pan, whisk], 55.02182225346704, 109.79704236081108
[pour [human, frying_pan, trash]: 0.0, pour [human, frying_pan, mixing_bowl_1]: 0.0, reset [human]: 0.0, move [human, frying_pan, stove]: 1.0]
Executing action move [human, frying_pan, stove], 109.79704236081108, 127.82484606566473
solo, 1, 1, 127.82484606566473, 127.82484606566473
solo, time, 7
Evaluating Expert
Required 5.57E-7
Recipe, scrambled egg
Human chose move [human, frying_pan, stove]
Partner chose to wait
Executing action move [human, frying_pan, stove], 0.0, 16.142643493554438
Executing action wait [partner] 0.0, 16.142643493554438
human scheduled actions
-partner
	move [partner, frying_pan, counter], 0.0, 16.628996262159603
	switch [partner, stove], 16.628996262159603, 19.74959277906633
	pour [partner, olive_oil_bowl, frying_pan], 19.74959277906633, 37.60658366025241
	move [partner, frying_pan, stove], 37.60658366025241, 53.663397266142056
	wait, 53.663397266142056, 58.553432231984324
	pour [partner, eggs_bowl, frying_pan], 58.55343223198432, 74.53385421568633
	mix [partner, frying_pan, whisk], 74.53385421568633, 80.43022596160313
-human
	wait, 0.0, 53.663397266142056
	move [human, frying_pan, counter], 53.663397266142056, 58.553432231984324
	wait, 58.553432231984324, 80.43022596160313
	move [human, frying_pan, stove], 80.43022596160313, 95.73579275956077
partner scheduled actions
-partner
	move [partner, frying_pan, counter], 0.0, 16.435640575627325
	switch [partner, stove], 16.435640575627325, 20.02327516389524
	wait, 20.023275163895235, 73.36555854301116
	mix [partner, frying_pan, whisk], 73.36555854301116, 79.08788143183294
-human
	wait, 0.0, 16.435640575627325
	pour [human, butter_bowl, frying_pan], 16.435640575627325, 33.42541357835896
	move [human, frying_pan, stove], 33.42541357835896, 51.58021990418905
	move [human, frying_pan, counter], 51.58021990418905, 56.723636932615854
	pour [human, eggs_bowl, frying_pan], 56.72363693261586, 73.36555854301116
	wait, 73.36555854301116, 79.08788143183294
	move [human, frying_pan, stove], 79.08788143183294, 96.46849552991986
Executing action move [partner, frying_pan, counter], 16.142643493554438, 34.831915915055944
Executing action wait [human] 16.142643493554438, 34.831915915055944
human scheduled actions
-partner
	pour [partner, olive_oil_bowl, frying_pan], 0.0, 16.511812642725506
	switch [partner, stove], 16.511812642725506, 20.26325561406128
	move [partner, frying_pan, stove], 20.26325561406128, 38.35840566119449
	wait, 38.35840566119449, 58.351493640547844
	mix [partner, frying_pan, whisk], 58.351493640547844, 63.72682521103273
-human
	wait, 0.0, 38.35840566119449
	move [human, frying_pan, counter], 38.35840566119449, 43.47717397645465
	pour [human, eggs_bowl, frying_pan], 43.47717397645465, 58.351493640547844
	wait, 58.351493640547844, 63.72682521103273
	move [human, frying_pan, stove], 63.726825211032725, 79.87776344705347
partner scheduled actions
-partner
	pour [partner, olive_oil_bowl, frying_pan], 0.0, 16.202754897916623
	switch [partner, stove], 16.202754897916623, 20.010514660275952
	move [partner, frying_pan, stove], 20.01051466027595, 37.09150133466453
	wait, 37.09150133466453, 58.662994912507244
	mix [partner, frying_pan, whisk], 58.662994912507244, 64.46627678144958
-human
	wait, 0.0, 37.09150133466453
	move [human, frying_pan, counter], 37.09150133466453, 42.03205964247006
	pour [human, eggs_bowl, frying_pan], 42.03205964247006, 58.662994912507244
	wait, 58.662994912507244, 64.46627678144958
	move [human, frying_pan, stove], 64.46627678144958, 80.07119392908612
Executing action pour [partner, olive_oil_bowl, frying_pan], 34.831915915055944, 52.35464509752514
Executing action wait [human] 34.831915915055944, 52.35464509752514
human scheduled actions
-partner
	move [partner, frying_pan, stove], 0.0, 16.243107466759678
	switch [partner, stove], 16.243107466759678, 19.664521919475565
	move [partner, frying_pan, counter], 19.664521919475565, 35.89054420725588
	pour [partner, eggs_bowl, frying_pan], 35.89054420725587, 52.696884348048286
	mix [partner, frying_pan, whisk], 52.696884348048286, 58.56200259183658
-human
	wait, 0.0, 58.56200259183658
	move [human, frying_pan, stove], 58.56200259183658, 73.39742748238281
partner scheduled actions
-partner
	switch [partner, stove], 0.0, 3.4142808049233553
	move [partner, frying_pan, stove], 3.4142808049233544, 20.7309724200535
	move [partner, frying_pan, counter], 20.7309724200535, 38.13782063306778
	wait, 38.13782063306778, 52.18834990641835
	mix [partner, frying_pan, whisk], 52.18834990641835, 57.94030227328133
-human
	wait, 0.0, 38.13782063306778
	pour [human, eggs_bowl, frying_pan], 38.137820633067776, 52.18834990641835
	wait, 52.18834990641835, 57.94030227328133
	move [human, frying_pan, stove], 57.94030227328134, 73.16009325373099
Executing action switch [partner, stove], 52.35464509752514, 56.038998649694484
Executing action wait [human] 52.35464509752514, 56.038998649694484
human scheduled actions
-partner
	move [partner, frying_pan, stove], 0.0, 16.677548634008286
	move [partner, frying_pan, counter], 16.677548634008282, 34.4455413012454
	wait, 34.4455413012454, 49.27064299146331
	mix [partner, frying_pan, whisk], 49.27064299146331, 55.04712485196144
	move [partner, frying_pan, stove], 55.047124851961435, 72.85144230535411
-human
	wait, 0.0, 34.4455413012454
	pour [human, eggs_bowl, frying_pan], 34.4455413012454, 49.27064299146331
partner scheduled actions
-partner
	move [partner, frying_pan, stove], 0.0, 16.046831370481954
	move [partner, frying_pan, counter], 16.046831370481957, 34.27021680793317
	wait, 34.27021680793317, 48.33509822222264
	mix [partner, frying_pan, whisk], 48.33509822222264, 54.38548717778627
-human
	wait, 0.0, 34.27021680793317
	pour [human, eggs_bowl, frying_pan], 34.27021680793317, 48.33509822222264
