Agent, Successes, Trials, Average reward, average successful reward
Evaluating solo
Recipe, scrambled egg
[pour [human, eggs_bowl, mixing_bowl_1]: 0.0, pour [human, olive_oil_bowl, frying_pan]: 0.3333333333333333, pour [human, butter_bowl, frying_pan]: 0.3333333333333333, switch [human, stove]: 0.3333333333333333]
Executing action pour [human, butter_bowl, frying_pan], 0.0, 11.595303332019919
[pour [human, frying_pan, trash]: 0.0, switch [human, stove]: 0.5, reset [human]: 0.0, move [human, frying_pan, stove]: 0.5]
Executing action move [human, frying_pan, stove], 11.595303332019919, 16.246156504080695
[switch [human, stove]: 1.0, reset [human]: 0.0, move [human, frying_pan, counter]: 0.0]
Executing action switch [human, stove], 16.246156504080695, 24.077485510275555
[reset [human]: 0.0, move [human, frying_pan, counter]: 1.0]
Executing action move [human, frying_pan, counter], 24.077485510275555, 50.371840268140915
[pour [human, frying_pan, trash]: 0.0, pour [human, frying_pan, mixing_bowl_1]: 0.0, pour [human, eggs_bowl, frying_pan]: 1.0, reset [human]: 0.0, move [human, frying_pan, stove]: 0.0]
Executing action pour [human, eggs_bowl, frying_pan], 50.371840268140915, 74.75143005291316
[pour [human, frying_pan, trash]: 0.0, pour [human, frying_pan, mixing_bowl_1]: 0.0, reset [human]: 0.0, move [human, frying_pan, stove]: 0.0, mix [human, frying_pan, whisk]: 1.0]
Executing action mix [human, frying_pan, whisk], 74.75143005291316, 125.21927051700675
[pour [human, frying_pan, trash]: 0.0, pour [human, frying_pan, mixing_bowl_1]: 0.0, reset [human]: 0.0, move [human, frying_pan, stove]: 1.0]
Executing action move [human, frying_pan, stove], 125.21927051700675, 130.2960476331158
solo, 1, 1, 130.2960476331158, 130.2960476331158
solo, time, 8
Evaluating Expert
Required 3.0E-7
Recipe, scrambled egg
Human chose move [human, frying_pan, stove]
Partner chose to wait
Executing action move [human, frying_pan, stove], 0.0, 4.763410915369262
Executing action wait [partner] 0.0, 4.763410915369262
human scheduled actions
-partner
	move [partner, frying_pan, counter], 0.0, 16.0418894873511
	switch [partner, stove], 16.0418894873511, 19.872531372331714
	pour [partner, butter_bowl, frying_pan], 19.872531372331714, 37.15039180656825
	move [partner, frying_pan, stove], 37.15039180656825, 53.699405296672154
	move [partner, frying_pan, counter], 53.69940529667215, 70.86679775128431
	pour [partner, eggs_bowl, frying_pan], 70.86679775128431, 86.90035347026318
	mix [partner, frying_pan, whisk], 86.90035347026318, 89.3695646148809
-human
	wait, 0.0, 89.3695646148809
	move [human, frying_pan, stove], 89.3695646148809, 94.41238768293294
partner scheduled actions
-partner
	move [partner, frying_pan, counter], 0.0, 16.38715864798842
	switch [partner, stove], 16.38715864798842, 20.640416129750655
	pour [partner, butter_bowl, frying_pan], 20.640416129750655, 36.42336816570107
	move [partner, frying_pan, stove], 36.42336816570106, 54.46703206726612
	move [partner, frying_pan, counter], 54.46703206726612, 70.48303635427449
	pour [partner, eggs_bowl, frying_pan], 70.48303635427449, 86.63503588600722
	mix [partner, frying_pan, whisk], 86.63503588600722, 88.99214900342633
-human
	wait, 0.0, 88.99214900342633
	move [human, frying_pan, stove], 88.99214900342633, 93.91060545937154
Executing action move [partner, frying_pan, counter], 4.763410915369262, 22.88066140000236
Executing action wait [human] 4.763410915369262, 22.88066140000236
human scheduled actions
-partner
	pour [partner, olive_oil_bowl, frying_pan], 0.0, 15.655323694521476
	switch [partner, stove], 15.655323694521478, 19.468035165439787
	move [partner, frying_pan, stove], 19.468035165439787, 38.21296302011445
	move [partner, frying_pan, counter], 38.21296302011445, 55.26647321051555
	pour [partner, eggs_bowl, frying_pan], 55.26647321051555, 72.88406620907466
	mix [partner, frying_pan, whisk], 72.88406620907466, 75.39432424653795
-human
	wait, 0.0, 75.39432424653795
	move [human, frying_pan, stove], 75.39432424653795, 79.74478020448548
partner scheduled actions
-partner
	switch [partner, stove], 0.0, 3.6723678940446036
